weight,60,65,70,75,80,85,90
w0,16.59,16.61,16.56,16.69,16.48,16.58,16.95
w1,16.73,16.75,16.73,16.74,16.74,16.73,16.74
w2,16.72,16.7,16.71,16.73,16.7,16.73,16.71
w3,16.65,16.6,16.7,16.68,16.67,16.69,16.69
w4,16.61,16.65,16.65,16.64,16.61,16.68,16.53
w5,16.59,16.61,16.57,16.58,16.61,16.56,16.57
