exp#,utility_YS,utility_YS_order,utility_YS_course,utility_YS_both,gini_YS,gini_YS_order,gini_YS_course,gini_YS_both,base_0,base_rnd,base_DSA_RC,cl_60,cl_65,cl_70,cl_75,cl_80,cl_85,cl_90,friendship_w_0,friendship_w_1
70,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
71,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
72,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
73,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
74,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
75,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
76,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
77,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
78,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
79,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
80,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
81,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
82,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
83,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
84,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
85,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
86,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
87,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
88,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
89,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
90,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
91,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
92,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
93,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
94,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
95,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
96,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
97,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
98,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
99,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
100,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
101,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
102,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
103,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
104,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
105,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
106,459,0,0,0,9.31,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
107,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
108,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
109,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
110,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
111,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
112,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
113,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
114,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
115,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
116,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
117,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
118,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
119,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
120,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
121,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
122,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
123,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
124,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
125,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
126,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
