exp#,utility_YS,utility_YS_order,utility_YS_course,utility_YS_both,gini_YS,gini_YS_order,gini_YS_course,gini_YS_both,base_0,base_rnd,base_DSA_RC,cl_60,cl_65,cl_70,cl_75,cl_80,cl_85,cl_90,friendship_w_0,friendship_w_1,method
1257,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1258,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1259,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1260,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1261,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1262,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1263,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1264,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1265,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1266,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1267,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1268,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1269,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1270,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1271,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1272,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1273,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1274,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1275,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1276,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1277,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1278,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1279,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1280,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1281,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1282,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1283,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1284,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1285,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1286,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1287,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1288,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1289,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1290,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1291,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1292,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1293,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1294,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1295,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1296,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1297,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1298,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1299,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1300,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1301,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1302,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1303,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1304,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1305,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1306,0,2097,0,0,0,1.09,0,0,0,0,1,0,0,0,1,0,0,0,0,1,order
1307,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1308,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1309,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1310,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1311,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1312,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1313,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1314,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1315,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1316,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1317,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1318,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1319,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1320,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1321,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1322,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1323,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1324,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1325,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1326,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1327,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1328,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1329,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1330,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1331,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1332,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1333,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1334,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1335,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1336,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1337,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1338,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1339,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1340,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1341,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1342,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1343,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1344,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1345,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1346,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1347,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1348,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1349,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1350,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1351,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1352,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1353,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1354,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1355,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1356,0,2107,0,0,0,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,1,order
1357,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1358,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1359,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1360,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1361,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1362,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1363,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1364,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1365,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1366,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1367,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1368,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1369,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1370,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1371,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1372,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1373,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1374,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1375,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1376,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1377,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1378,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1379,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1380,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1381,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1382,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1383,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1384,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1385,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1386,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1387,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1388,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1389,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1390,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1391,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1392,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1393,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1394,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1395,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1396,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1397,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1398,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1399,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1400,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1401,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1402,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1403,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1404,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1405,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1406,0,2117,0,0,0,0.32,0,0,0,0,1,0,0,0,0,0,1,0,0,1,order
1407,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1408,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1409,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1410,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1411,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1412,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1413,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1414,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1415,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1416,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1417,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1418,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1419,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1420,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1421,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1422,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1423,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1424,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1425,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1426,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1427,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1428,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1429,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1430,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1431,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1432,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1433,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1434,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1435,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1436,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1437,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1438,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1439,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1440,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1441,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1442,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1443,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1444,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1445,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1446,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1447,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1448,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1449,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1450,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1451,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1452,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1453,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1454,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1455,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1456,0,2124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,order
1457,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1458,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1459,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1460,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1461,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1462,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1463,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1464,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1465,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1466,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1467,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1468,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1469,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1470,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1471,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1472,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1473,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1474,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1475,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1476,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1477,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1478,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1479,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1480,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1481,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1482,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1483,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1484,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1485,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1486,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1487,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1488,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1489,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1490,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1491,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1492,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1493,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1494,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1495,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1496,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1497,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1498,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1499,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1500,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1501,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1502,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1503,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1504,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1505,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1506,0,0,459,0,0,0,9.31,0,0,0,1,1,0,0,0,0,0,0,1,0,course
1507,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1508,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1509,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1510,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1511,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1512,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1513,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1514,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1515,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1516,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1517,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1518,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1519,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1520,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1521,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1522,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1523,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1524,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1525,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1526,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1527,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1528,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1529,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1530,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1531,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1532,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1533,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1534,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1535,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1536,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1537,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1538,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1539,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1540,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1541,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1542,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1543,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1544,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1545,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1546,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1547,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
1548,0,0,484,0,0,0,7.13,0,0,0,1,0,1,0,0,0,0,0,1,0,course
