exp#,utility_YS,utility_YS_order,utility_YS_course,utility_YS_both,gini_YS,gini_YS_order,gini_YS_course,gini_YS_both,base_0,base_rnd,base_DSA_RC,cl_60,cl_65,cl_70,cl_75,cl_80,cl_85,cl_90,friendship_w_0,friendship_w_1,method
67,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
68,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
69,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
70,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
71,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
72,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
73,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
74,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
75,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
76,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
77,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
78,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
79,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
80,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
81,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
82,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
83,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
84,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
85,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
86,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
87,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
88,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
89,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
90,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
91,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
92,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
93,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
94,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
95,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
96,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
97,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
98,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
99,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
100,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
101,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
102,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
103,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
104,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
105,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
106,459,0,0,0,9.31,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,original
107,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
108,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
109,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
